L-SC,ORL-SC,EM-Emb,IR-LS,IR-MAP,SDP-comb,K-SC,sIR-LS
0.48482182803017,0.584409915138595,0.702127843333603,0.91038800721279,0.908285059259556,0.450151444126676,0.466942773723513,0.920128521163295
0.492803763163309,0.679346714687893,0.594032089598441,0.911700245886425,0.916171755112145,0.448119229669281,0.435825617824237,0.92095957335462
0.50465416612647,0.542152823625789,0.543003555680759,0.919578493888929,0.917451433464019,0.562773930583309,0.475112015638255,0.927390733669313
0.493608470490812,0.515669883697727,0.558088809041391,0.903859685588345,0.914377650310269,0.745280327114818,0.41775563527463,0.920170747831261
0.495846087898303,0.649922319015589,0.518802877950768,0.905854245359848,0.916377924003033,0.50090449488839,0.437750153019991,0.915858230180227
0.515505963545089,0.622303535863779,0.618649404806436,0.857992276925999,0.854113371968724,0.449018394782913,0.372127650833425,0.859629582084524
0.472377335222528,0.694367776526608,0.787914840610468,0.915275731146355,0.922678354677381,0.519591131167401,0.461277751710501,0.93049049228455
0.461996969469454,0.577847630694856,0.714104309815445,0.893641255207742,0.911448417452172,0.456620007820041,0.423587022606761,0.901200790700252
0.495253196431238,0.646527812662239,0.6158298849638,0.91815273254882,0.914340312231223,0.534821044036573,0.46223000809796,0.905831260579024
0.538349032262699,0.690560828455081,0.602312829976547,0.929640412675095,0.928174881298186,0.492078072648163,0.419305509445898,0.929329512591225
0.491150632451281,0.525506275394168,0.809122124917345,0.892566322199888,0.909516114114989,0.73544315012864,0.460648105393879,0.921777340864825
0.487952640987218,0.492050988686221,0.500112760690367,0.910842487746199,0.905606955909934,0.759339285208503,0.458301589238302,0.911790833025831
0.499810654737993,0.575599234369163,0.637155907585552,0.926307673896672,0.928362028148212,0.444879096499297,0.473982810226143,0.92699634359047
0.496899115495997,0.639718630943559,0.467123677308153,0.908605400294354,0.912820242352213,0.546715383822111,0.448778533565154,0.913396534896321
0.460687356196509,0.613233599444667,0.830484010682665,0.925574135404933,0.945477259435723,0.533263243741115,0.459917601621524,0.939468620917155
0.504858107290353,0.654704434903632,0.837338906280425,0.912219575903447,0.919294349088862,0.552754938599022,0.428210889481003,0.913467536890095
0.503399916033811,0.605399490147314,0.802858844307099,0.902962904327548,0.889588935876346,0.450789282551204,0.436005134376695,0.903145032468133
0.467517164992343,0.604810240272629,0.527166809323177,0.901548241959732,0.894265828634289,0.435842841187658,0.40148447892763,0.890594364109371
0.50682401576634,0.566403241231803,0.722355067257032,0.91200607882271,0.919762411049036,0.490660520291031,0.445011753128527,0.938055387914697
0.491689456432978,0.605327924530206,0.490331300575273,0.888734512550378,0.642757607289729,0.426605321658367,0.405235055995169,0.884192026853351
0.502276155271257,0.591706587402602,0.532121316334096,0.89828075013993,0.901569866888205,0.480106866375231,0.452130341943201,0.881009766193584
0.467574203986906,0.608692931160459,0.486762076332751,0.892811569657507,0.476139085743483,0.479266111429411,0.40681095946872,0.475939973493975
0.515627966457845,0.582636808113363,0.521158354772431,0.91036106165341,0.922171835155219,0.446041932120773,0.429951257309543,0.938799014676061
0.474869992417746,0.649041078190141,0.657635404983509,0.894366454012984,0.902690747760173,0.491953367007737,0.431420556409565,0.889843654986045
0.481244234782882,0.703299721721752,0.53119438307218,0.897880209771297,0.912225593161889,0.475171473521071,0.443983720267053,0.917111045114956
0.464951068261692,0.582506878153978,0.496316189983318,0.919980574605745,0.92350168619473,0.4624402291876,0.454823512771574,0.920136585183426
0.478205247515269,0.524468437067911,0.749457010686252,0.91992916764836,0.937258366954964,0.441697528725081,0.487053619111093,0.919705924096386
0.482573269364293,0.572608006913922,0.764941471242594,0.882575712869768,0.895911441649272,0.442255061210255,0.437942476865463,0.892855464697755
0.494951323760659,0.534993252372727,0.495010461440756,0.909847851186387,0.91059919906827,0.561691089781953,0.43571161983273,0.906369947800641
0.50167604745651,0.574353568356758,0.790514161966471,0.88585696402365,0.880596233136227,0.436626761256097,0.446419779061576,0.915992812113001
0.504601024786416,0.621338569415552,0.689402278359567,0.908045226073911,0.915270616824881,0.443447091964404,0.409059043669838,0.8935170966154
0.489469130112042,0.642118370519439,0.841760527491866,0.908793613509412,0.917908755219613,0.439675710400609,0.454538524023082,0.927370927854979
0.476363063153617,0.658667573647304,0.508196262209694,0.925566341423053,0.949654127550594,0.494605421561181,0.464434315291098,0.940932996032661
0.526400429574834,0.551392195047086,0.769867014079292,0.905044435427149,0.914323746067766,0.453048261204566,0.376186444217534,0.891210102643986
0.489456480284063,0.605297289970054,0.674825478986846,0.907222905722063,0.911064424436509,0.463152504263187,0.412566890796175,0.907124915283435
0.493921610891807,0.606543272638886,0.662357057075949,0.913116661443272,0.937865352775194,0.427147177022182,0.448184955372456,0.928509162207888
0.510147492577496,0.611388325469929,0.479558711460683,0.920585298590975,0.935103198940748,0.542280656810529,0.435103645639421,0.92058090936216
0.475879709518233,0.605829817786196,0.501470361754508,0.945230866912547,0.561903072763209,0.448840058110414,0.450678463346771,0.944852938957538
0.483636531240199,0.553744922210244,0.859089245241616,0.912412008668799,0.935781801168359,0.490146451160623,0.442820987075101,0.908993689354439
0.510179672689943,0.646714658034176,0.844742712013198,0.914911311944287,0.930380510203585,0.509223882226834,0.469726595678545,0.947474333493282
