,Station,Latitude,Longitude
63,010537,-34.30,117.57
30,008066,-30.70,117.06
302,095016,-42.34,146.75
24,007080,-25.13,119.15
297,091109,-41.14,145.70
298,092012,-41.64,147.97
61,010525,-33.85,117.64
92,015086,-17.38,133.41
20,007020,-26.88,118.17
172,036007,-23.55,145.29
186,040013,-25.82,152.62
275,079036,-36.74,141.94
213,047029,-33.39,142.57
281,083032,-36.85,146.32
306,099005,-40.09,148.00
67,010611,-33.28,119.77
160,031011,-16.87,145.75
110,016083,-26.73,135.08
192,040428,-25.66,151.75
292,089005,-37.45,143.36
143,024511,-34.18,139.08
251,064008,-31.27,149.27
9,004035,-20.78,117.15
40,009551,-35.02,117.76
177,037010,-19.92,138.12
83,013006,-26.40,120.95
229,052019,-29.35,148.69
10,005004,-22.38,114.11
208,044168,-25.46,146.03
246,061014,-32.64,151.42
78,012065,-32.20,121.78
119,018045,-33.95,135.27
100,016006,-29.94,134.15
82,013005,-26.23,121.55
158,029034,-21.27,141.29
11,005008,-21.19,115.98
129,019032,-32.74,138.61
89,014902,-14.46,132.26
105,016032,-32.52,136.49
62,010536,-32.33,117.87
153,026026,-37.16,139.76
204,044002,-25.80,146.58
211,046037,-29.44,142.01
237,055063,-31.65,150.72
180,037051,-22.39,143.04
224,050028,-32.90,147.52
231,053018,-28.99,150.02
103,016027,-29.84,134.90
117,018031,-32.87,137.00
34,008106,-29.37,116.40
8,004006,-22.18,119.93
15,006048,-27.39,115.97
199,042003,-28.24,149.12
91,015085,-18.64,135.95
96,015553,-23.51,133.27
16,006055,-27.75,115.83
167,033060,-21.14,149.04
26,007095,-28.23,117.65
218,047053,-34.11,141.91
27,007169,-23.10,119.37
123,018063,-31.93,133.00
256,069018,-35.91,150.15
52,010045,-31.01,117.13
139,022809,-35.72,137.94
197,041079,-28.54,151.84
282,084016,-37.57,149.91
261,073038,-34.41,147.52
233,054004,-29.87,150.57
227,051033,-31.86,147.13
162,032018,-18.17,145.33
228,051049,-31.99,147.95
205,044026,-28.07,145.68
46,009619,-34.15,116.02
71,010670,-32.50,119.36
108,016040,-30.71,136.75
169,033082,-20.50,147.63
220,048039,-29.32,145.85
300,094061,-42.93,147.52
136,022009,-34.77,137.59
