EM-Emb,IR-LS (rd),IR-sLS (rd),IR-LS,IR-sLS
0.451898719554226,0.861373474143528,0.863306683677364,0.870713457752674,0.869772832308168
0.740837762247533,0.891284608405142,0.898599506249808,0.891284608405142,0.88777388870737
0.652573787724518,0.90279049978608,0.891689916945837,0.90279049978608,0.891689916945837
0.6213771143871,0.894382854832643,0.907308417496293,0.897852645079727,0.907308417496293
0.492683577260141,0.868540399678437,0.848057590714356,0.883619820228678,0.864916577168248
0.661509765415428,0.0,0.0,0.874024366978323,0.877745764344399
0.509491341631345,0.871379088676803,0.888127054481598,0.879400200061358,0.879803063419218
0.471097703725903,0.885431645894666,0.881880670169804,0.885431645894666,0.881880670169804
0.476104049680039,0.883072514727756,0.869722148787186,0.883072514727756,0.869722148787186
0.581113747222042,0.8901928680518,0.895224279088345,0.8901928680518,0.895224279088345
0.534457268492322,0.0,0.0,0.868924415402052,0.880751497060244
0.626076087133238,0.0,0.0,0.896195759250799,0.915185572985733
0.733980076387119,0.877700711940541,0.876164882736641,0.884333608215762,0.879283141597168
0.748027907084539,0.870505005936177,0.820862369472642,0.859264774082529,0.85747392038566
0.49890686447558,0.0,0.0,0.890782506389627,0.877491796656568
0.601530056447409,0.883559841309596,0.864749324403454,0.880524786594448,0.864749324403454
0.697675327724194,0.886149132138074,0.843068457951754,0.87804214000462,0.868517511892978
0.753230995076619,0.866087395525444,0.865461760017052,0.869007363471266,0.86199447279629
0.468261765263156,0.884324074211905,0.879668838347142,0.884324074211905,0.88315154087015
0.528144654340325,0.0,0.0,0.899834036664545,0.909150255469374
