"","L-SC","ORL-SC","EM-Emb","IR-LS","IR-sLS","IR-MAP","K-SC"
"1",0.506308742135318,0.517754109174596,0.501512120698704,0.903733768214311,0.906073436160284,0.912249085038109,0.477912921138188
"2",0.488262338768518,0.505424965540022,0.533851338199469,0.897608898004182,0.90310248205558,0.900086352966047,0.467274554819036
"3",0.490083508073705,0.519375785420656,0.517930052669755,0.930769648478784,0.93420304729974,0.930822391377019,0.493227942055953
"4",0.472070464578349,0.480285855460432,0.688415044528558,0.904208864576305,0.901634265995726,0.900860183038719,0.469730897182046
"5",0.506321053724021,0.525928487540479,0.688991801717933,0.899778625385319,0.900709884062773,0.905678217279729,0.456087475199057
"6",0.482144511081292,0.505583141144199,0.713752043302992,0.906823810417507,0.911794118773284,0.906823810417507,0.489010487923543
"7",0.487171819040921,0.492888062137256,0.78130357880451,0.897161545482638,0.90345122818048,0.901093225892761,0.450019601871264
"8",0.504887447457235,0.504887447457235,0.585861387917259,0.900820190689208,0.906950435754537,0.906950435754537,0.420669041718667
"9",0.498982943401319,0.522635753352431,0.661684586621791,0.90914991777231,0.902982439127493,0.902982439127493,0.446084437179829
"10",0.508173510527754,0.550024302565172,0.627417878632406,0.93748401452845,0.938836344746763,0.936288257231148,0.515961472041104
"11",0.480911419385727,0.531101981721936,0.686751501512748,0.893544636055033,0.908992597815802,0.908992597815802,0.468497856217447
"12",0.50897605522344,0.50545301653087,0.865971386809359,0.921238117610838,0.916952017919819,0.911794118773284,0.453422908128412
"13",0.514433749321531,0.522958114299154,0.781085988410099,0.907139318778138,0.901330595841233,0.91189426906442,0.425063065130181
"14",0.508599935727354,0.520602036148923,0.499221413914215,0.921876703550014,0.461895770421822,0.4827699021982,0.471215086030306
"15",0.49071140981845,0.505938056569129,0.757708806575136,0.899321090863069,0.89012700087813,0.889948255022945,0.475532554162483
"16",0.496872317381168,0.521898763792842,0.496780133818113,0.911938750041374,0.915198495973598,0.921323388404162,0.486739939011643
"17",0.489510574085902,0.522038872282047,0.704978808922302,0.92118779966331,0.919696244832708,0.930769648478784,0.484393032708307
"18",0.482277506533388,0.501784881145782,0.792696193280763,0.901373207649746,0.910720008981487,0.908388371916716,0.483681448633339
"19",0.486764649059665,0.507484060026555,0.49464005383966,0.914743214561147,0.477305160449259,0.473748034596985,0.475115499032213
"20",0.497966384043548,0.514603373876868,0.494285211851849,0.908588813430835,0.678601667465583,0.905285790253208,0.444883566475554
"21",0.52099434737942,0.534456093494814,0.665589399075589,0.890093406716158,0.87800095537121,0.89334556898665,0.410363774377172
"22",0.504136192675254,0.508041157646964,0.838657869259296,0.933898682376851,0.937528925433145,0.931374633671798,0.467337570834784
"23",0.484046935731752,0.491170629635459,0.887052049678825,0.902072924679706,0.905814628188343,0.896633883661111,0.48536585028149
"24",0.501363277248379,0.521718496017298,0.793293483464431,0.915114941443467,0.902203216230242,0.90836707942796,0.450100318409963
"25",0.537508567000958,0.505851886116274,0.481105760288928,0.919680890892401,0.906892585089497,0.906892585089497,0.450184116704093
"26",0.463922311750809,0.506023231638194,0.510390468175745,0.926564487827854,0.923124871875605,0.924571171153829,0.493079575406462
"27",0.518429110987008,0.522481426940965,0.501216025631341,0.930190345722558,0.508661088756195,0.50555262699076,0.483431429367609
"28",0.500822743325334,0.494089011066531,0.67829940445168,0.895901213531252,0.902085670919266,0.895901213531252,0.470901354140885
"29",0.47734738662096,0.519466581258365,0.810951774673103,0.912291617408248,0.918539515639837,0.918539515639837,0.464068622067286
"30",0.509168071037859,0.509168071037859,0.705075017534992,0.918019030208482,0.924008885828338,0.915405702033794,0.456124615374413
"31",0.497917157514254,0.507262715981457,0.792359533694203,0.897250463291151,0.905122828657267,0.908200508190216,0.468314040077936
"32",0.507484060026554,0.514895873063262,0.622102267412322,0.91052602389877,0.917012380823104,0.923066808362541,0.476164048465566
"33",0.493131795907064,0.554522144305227,0.527414846472059,0.915532391331214,0.930623770761806,0.92447310131608,0.493368377433683
"34",0.512384155540735,0.530128777902775,0.505070114971511,0.892590242354422,0.895814344507247,0.896992982967633,0.467004822188814
"35",0.532035870904243,0.532027983206088,0.747724462388684,0.910274802434446,0.91651308070697,0.921382962695026,0.492151570585236
"36",0.517440423322719,0.519903865988339,0.717293258289462,0.91963349136173,0.916952017919819,0.913561620738059,0.492445252446934
"37",0.51489587306326,0.521790343516278,0.598925805481112,0.88605172180076,0.895351076045761,0.895351076045761,0.440204150817458
"38",0.490866057116696,0.524647890992722,0.517024750197761,0.909059067878373,0.911962214721368,0.915065608159354,0.45166737207397
"39",0.513333780866664,0.524143895225347,0.689309923664569,0.938699900208613,0.938699900208613,0.942469588428023,0.463980331439559
"40",0.490292918841517,0.522937063527374,0.715688928821196,0.913242159268904,0.925048079380605,0.920951552261521,0.416734027503359
